site,date,level,spurious_precip_rate
CEN2,2021-08-12,u,-0.4
CEN2,2021-08-13,u,-1.9
CEN2,2021-10-31,u,-4.2
CEN2,2021-11-23,u,-1.7
CEN2,2021-11-24,u,-6.9
CEN2,2021-11-25,u,-3.6
CEN2,2021-11-29,u,-7.7
CEN2,2021-12-01,u,-1.0
CEN2,2021-08-12,l,-0.4
CEN2,2021-08-13,l,-1.9
CEN2,2021-08-23,l,-0.7
CEN2,2021-11-23,l,-97.4
CEN2,2022-05-26,u,-163.6
CEN2,2022-05-27,u,-98.1
CEN2,2022-06-18,u,-0.0
CEN2,2022-10-16,u,363.1
CEN2,2022-05-26,l,-315.1
CEN2,2022-05-27,l,-189.1
CEN2,2022-07-24,l,-0.1
CEN2,2022-07-25,l,-0.1
