site,date,level,spurious_precip_rate
NSE,2022-02-04,u,-8.1
NSE,2022-02-05,u,-0.5
NSE,2022-02-07,u,-0.9
NSE,2022-02-08,u,-8.7
NSE,2022-02-09,u,-0.1
NSE,2022-02-11,u,-0.2
NSE,2022-02-24,u,-2.4
NSE,2022-02-25,u,-2.4
NSE,2022-03-01,u,-3.1
NSE,2022-03-09,u,-263.0
NSE,2022-04-09,u,-8.6
NSE,2022-05-07,u,-6.3
NSE,2022-10-20,u,2935.6
NSE,2022-10-21,u,781.8
NSE,2022-03-14,l,1398.5
NSE,2022-05-08,l,-228.5
NSE,2022-05-09,l,-1422.1
NSE,2022-05-10,l,-381.5
NSE,2022-05-17,l,496.0
NSE,2022-05-18,l,-666.9
NSE,2022-05-19,l,352.8
NSE,2022-05-21,l,-412.1
NSE,2022-05-27,l,1007.7
NSE,2022-05-28,l,-231.9
NSE,2022-05-29,l,-261.8
NSE,2022-05-30,l,674.1
NSE,2022-05-31,l,-1202.3
NSE,2022-06-01,l,508.7
NSE,2022-06-04,l,933.7
NSE,2022-06-05,l,-1106.6
NSE,2022-06-09,l,566.5
NSE,2022-06-10,l,2761.7
NSE,2022-06-11,l,-3949.5
NSE,2022-06-12,l,601.6
NSE,2022-06-13,l,-616.2
NSE,2022-06-14,l,717.6
NSE,2022-06-15,l,-859.6
NSE,2022-06-16,l,310.1
NSE,2022-06-19,l,3692.9
NSE,2022-06-20,l,-3705.7
NSE,2022-06-21,l,-43.9
NSE,2022-06-22,l,-281.6
NSE,2022-06-24,l,-170.7
NSE,2022-06-28,l,1965.6
NSE,2022-06-30,l,-1703.4
NSE,2022-07-01,l,-347.7
NSE,2022-07-04,l,-281.9
NSE,2022-07-06,l,-290.7
NSE,2022-07-07,l,-4.8
NSE,2022-07-08,l,1492.1
NSE,2022-07-09,l,614.4
NSE,2022-07-11,l,-1053.3
NSE,2022-07-12,l,-535.0
NSE,2022-07-13,l,361.4
NSE,2022-07-14,l,1039.6
NSE,2022-07-16,l,-1622.3
NSE,2022-07-17,l,-373.0
NSE,2022-07-18,l,5702.2
NSE,2022-07-19,l,-3732.1
NSE,2022-07-20,l,-913.9
NSE,2022-07-21,l,-1056.1
NSE,2022-07-22,l,1971.3
NSE,2022-07-25,l,-1593.9
NSE,2022-07-26,l,-395.5
NSE,2022-07-27,l,2056.3
NSE,2022-07-31,l,-334.6
NSE,2022-08-02,l,-759.2
NSE,2022-08-03,l,804.7
NSE,2022-08-04,l,-70.1
NSE,2022-08-06,l,-100.1
NSE,2022-08-08,l,-121.6
NSE,2022-08-10,l,-327.8
NSE,2022-08-11,l,-1677.5
NSE,2022-08-12,l,835.7
NSE,2022-08-13,l,1124.8
NSE,2022-08-14,l,-1960.5
NSE,2022-08-16,l,686.9
NSE,2022-08-17,l,1373.9
NSE,2022-08-23,l,-66.0
NSE,2022-08-26,l,-177.6
NSE,2022-08-27,l,-1808.5
NSE,2022-08-28,l,4045.1
NSE,2022-08-29,l,-4199.3
NSE,2022-08-30,l,1763.1
NSE,2022-09-02,l,-80.1
NSE,2022-09-11,l,-930.2
NSE,2022-09-12,l,1081.4
NSE,2022-09-15,l,-1020.2
NSE,2022-09-16,l,893.3
NSE,2022-09-19,l,-73.5
NSE,2022-09-21,l,-2109.0
NSE,2022-09-22,l,446.2
NSE,2022-09-23,l,818.1
NSE,2022-09-24,l,-1264.2
NSE,2022-09-27,l,1556.8
