time,precip_u,precip_u_cor,tp_u,t_u
2022-05-28,0.0,0.0,,0.4
2022-05-29,0.0,0.0,0.0,1.4
2022-05-30,0.0,0.0,0.0,1.3
2022-05-31,0.0,0.0,0.0,-2.5
2022-06-01,0.0,0.0,0.0,-2.0
2022-06-02,0.0,0.0,0.0,-3.8
2022-06-03,0.0,0.0,0.0,-2.7
2022-06-04,0.0,0.0,0.0,-2.4
2022-06-05,0.0,0.0,0.0,-3.4
2022-06-06,0.0,0.0,0.0,-5.1
2022-06-07,0.0,0.0,0.0,-2.7
2022-06-08,0.0,0.0,0.0,-1.3
2022-06-09,0.0,0.0,0.0,-0.6
2022-06-10,0.0,0.0,0.0,-2.0
2022-06-11,0.0,0.0,0.0,-1.6
2022-06-12,0.0,0.0,0.0,-1.9
2022-06-13,0.0,0.0,0.0,-4.0
2022-06-14,0.0,0.0,0.0,-1.0
2022-06-15,0.0,0.0,0.0,-1.0
2022-06-16,0.0,0.0,0.0,-0.1
2022-06-17,0.0,0.0,0.0,1.1
2022-06-18,0.0,0.0,0.0,-0.4
2022-06-19,0.0,0.0,0.0,-1.5
2022-06-20,0.0,0.0,0.0,1.9
2022-06-21,0.0,0.0,0.0,-0.4
2022-06-22,0.0,0.0,0.0,-2.8
2022-06-23,0.0,0.0,0.0,-1.9
2022-06-24,0.0,0.0,0.0,1.6
2022-06-25,0.0,0.0,0.0,3.4
2022-06-26,0.0,0.0,0.0,0.4
2022-06-27,0.0,0.0,0.0,0.4
2022-06-28,0.0,0.0,0.0,3.4
2022-06-29,2.1,2.2,2.2,2.5
2022-06-30,2.2,2.4,0.1,4.1
2022-07-01,2.2,2.4,0.0,4.5
2022-07-02,2.3,2.5,0.1,4.2
2022-07-03,2.4,2.6,0.1,4.3
2022-07-04,2.4,2.6,0.0,3.6
2022-07-05,2.4,2.6,0.0,3.2
2022-07-06,2.4,2.6,0.0,2.4
2022-07-07,2.4,2.6,0.0,3.2
2022-07-08,2.4,2.6,0.0,3.9
2022-07-09,2.4,2.6,0.0,4.5
2022-07-10,3.2,3.5,0.9,3.7
2022-07-11,3.3,3.6,0.1,2.4
2022-07-12,3.4,3.7,0.1,3.5
2022-07-13,3.6,4.0,0.2,4.0
2022-07-14,5.0,5.5,1.5,2.6
2022-07-15,5.0,5.5,0.0,4.0
2022-07-16,5.0,5.5,0.0,4.9
2022-07-17,5.0,5.5,0.0,5.3
2022-07-18,6.6,7.3,1.8,3.3
2022-07-19,13.9,15.5,8.2,2.5
2022-07-20,19.7,21.9,6.4,1.5
2022-07-21,19.8,22.0,0.1,2.8
2022-07-22,19.8,22.0,0.0,4.7
2022-07-23,19.8,22.0,0.0,4.9
2022-07-24,19.8,22.0,0.0,4.5
2022-07-25,19.8,22.0,0.0,4.4
2022-07-26,19.8,22.0,0.0,3.4
2022-07-27,19.8,22.0,0.0,2.0
2022-07-28,22.0,24.5,2.5,1.4
2022-07-29,24.4,27.3,2.8,2.5
2022-07-30,24.4,27.3,0.0,2.2
2022-07-31,24.4,27.3,0.0,2.7
2022-08-01,24.4,27.3,0.0,2.9
2022-08-02,24.4,27.3,0.0,2.5
2022-08-03,24.4,27.3,0.0,3.9
2022-08-04,24.4,27.3,0.0,2.8
2022-08-05,24.4,27.3,0.0,2.3
2022-08-06,24.4,27.3,0.0,2.9
2022-08-07,24.8,27.7,0.5,2.0
2022-08-08,25.2,28.1,0.4,2.0
2022-08-09,25.2,28.1,0.0,1.0
2022-08-10,25.2,28.1,0.0,1.5
2022-08-11,25.2,28.1,0.0,1.5
2022-08-12,25.2,28.1,0.0,1.9
2022-08-13,25.2,28.1,0.0,1.1
2022-08-14,25.2,28.1,0.0,1.9
2022-08-15,25.2,28.1,0.0,-0.4
2022-08-16,25.2,28.1,0.0,-0.3
2022-08-17,25.2,28.1,0.0,1.8
2022-08-18,25.3,28.2,0.1,1.0
2022-08-19,25.8,28.8,0.6,2.7
2022-08-20,25.8,28.8,0.0,1.1
2022-08-21,25.8,28.8,0.0,-0.9
2022-08-22,25.8,28.8,0.0,-0.7
2022-08-23,25.8,28.8,0.0,0.1
2022-08-24,25.8,28.8,0.0,-1.1
2022-08-25,25.8,28.8,0.0,0.2
2022-08-26,25.8,28.8,0.0,-1.0
2022-08-27,25.8,28.8,0.0,-2.0
2022-08-28,25.8,28.8,0.0,-2.0
2022-08-29,25.8,28.8,0.0,-4.1
2022-08-30,25.8,28.8,0.0,-4.6
2022-08-31,25.8,28.8,0.0,-5.0
2022-09-01,25.8,28.8,0.0,-1.6
2022-09-02,25.8,28.8,0.0,-1.9
2022-09-03,25.8,28.8,0.0,0.3
2022-09-04,26.5,29.6,0.8,2.1
2022-09-05,26.6,29.6,0.1,-1.9
2022-09-06,26.6,29.6,0.0,1.3
2022-09-07,26.7,29.7,0.1,2.9
2022-09-08,27.9,31.1,1.4,-0.0
2022-09-09,28.4,31.6,0.5,-0.8
2022-09-10,28.4,31.6,0.0,-1.7
2022-09-11,28.4,31.6,0.0,-3.5
2022-09-12,28.4,31.6,0.0,-5.8
2022-09-13,28.4,31.6,0.0,-8.0
2022-09-14,28.4,31.6,0.0,-5.9
2022-09-15,28.4,31.6,0.0,-6.1
2022-09-16,28.4,31.6,0.0,-6.7
2022-09-17,28.4,31.6,0.0,-8.2
2022-09-18,28.4,31.6,0.0,-10.6
2022-09-19,28.4,31.6,0.0,-9.4
2022-09-20,28.4,31.6,0.0,-8.7
2022-09-21,28.4,31.6,0.0,-8.0
2022-09-22,28.4,31.6,0.0,-6.5
2022-09-23,28.5,31.6,0.1,-3.3
2022-09-24,28.6,31.8,0.2,-5.7
2022-09-25,28.6,31.8,0.0,-7.8
2022-09-26,28.6,31.8,0.0,-9.8
2022-09-27,28.6,31.8,0.0,-9.6
2022-09-28,28.6,31.8,0.0,-8.0
2022-09-29,28.6,31.8,0.0,-6.5
2022-09-30,28.6,31.8,0.0,-7.8
2022-10-01,28.6,31.8,0.0,-11.2
2022-10-02,28.6,31.8,0.0,-15.5
2022-10-03,28.6,31.8,0.0,-16.0
2022-10-04,28.6,31.8,0.0,-15.3
2022-10-05,28.6,31.8,0.0,-16.8
2022-10-06,28.6,31.8,0.0,-17.0
2022-10-07,28.6,31.8,0.0,-16.1
2022-10-08,28.6,31.8,0.0,-16.2
2022-10-09,28.6,31.8,0.0,-15.1
2022-10-10,28.6,31.8,0.0,-18.7
2022-10-11,28.6,31.8,0.0,-19.9
2022-10-12,28.6,31.8,0.0,-18.3
2022-10-13,28.6,31.8,0.0,-16.5
2022-10-14,28.6,31.8,0.0,-15.7
2022-10-15,28.6,31.8,0.0,-13.6
2022-10-16,28.6,31.8,0.0,-13.1
2022-10-17,28.6,31.8,0.0,-3.6
2022-10-18,28.6,31.8,0.0,-12.8
2022-10-19,28.6,31.8,0.0,-15.7
2022-10-20,28.6,31.8,0.0,-14.5
2022-10-21,28.6,31.8,0.0,-17.5
2022-10-22,28.6,31.8,0.0,-24.5
2022-10-23,28.6,31.8,0.0,-24.2
2022-10-24,28.6,31.8,0.0,-22.7
2022-10-25,28.6,31.8,0.0,-20.9
2022-10-26,28.6,31.8,0.0,-19.9
2022-10-27,28.6,31.8,0.0,-21.8
2022-10-28,28.6,31.8,0.0,-17.5
2022-10-29,28.6,31.8,0.0,-15.4
2022-10-30,28.6,31.8,0.0,-18.4
2022-10-31,28.6,31.8,0.0,-19.1
2022-11-01,28.6,31.8,0.0,-22.9
2022-11-02,28.6,31.8,0.0,-22.6
2022-11-03,28.6,31.8,0.0,-18.9
2022-11-04,28.6,31.8,0.0,-23.5
2022-11-05,28.6,31.8,0.0,-22.9
2022-11-06,28.6,31.8,0.0,-20.7
2022-11-07,28.6,31.8,0.0,-19.4
2022-11-08,28.6,31.8,0.0,-22.2
2022-11-09,28.6,31.8,0.0,-24.4
2022-11-10,28.6,31.8,0.0,-26.0
2022-11-11,28.6,31.8,0.0,-23.7
2022-11-12,28.6,31.8,0.0,-21.1
2022-11-13,28.6,31.8,0.0,-14.9
2022-11-14,28.6,31.8,0.0,-12.5
2022-11-15,28.6,31.8,0.0,-22.8
2022-11-16,28.6,31.8,0.0,-21.8
2022-11-17,28.6,31.8,0.0,-22.9
2022-11-18,28.6,31.8,0.0,-21.0
2022-11-19,28.6,31.8,0.0,-23.4
2022-11-20,28.6,31.8,0.0,-21.6
2022-11-21,28.6,31.8,0.0,-22.6
2022-11-22,28.6,31.8,0.0,-25.6
2022-11-23,28.6,31.8,0.0,-26.5
2022-11-24,28.6,31.8,0.0,-25.7
2022-11-25,28.6,31.8,0.0,-22.8
2022-11-26,28.6,31.8,0.0,-26.2
2022-11-27,28.6,31.8,0.0,-26.7
2022-11-28,28.6,31.8,0.0,-25.8
2022-11-29,28.6,31.8,0.0,-18.8
2022-11-30,28.6,31.8,0.0,-20.5
2022-12-01,28.6,31.8,0.0,-22.5
2022-12-02,28.6,31.8,0.0,-25.6
2022-12-03,28.6,31.8,0.0,-23.6
2022-12-04,28.6,31.8,0.0,-11.7
2022-12-05,28.6,31.8,0.0,-20.4
2022-12-06,28.6,31.8,0.0,-21.6
2022-12-07,28.6,31.8,0.0,-21.6
2022-12-08,28.6,31.8,0.0,-12.7
2022-12-09,28.6,31.8,0.0,-14.1
2022-12-10,28.6,31.8,0.0,-8.3
2022-12-11,28.6,31.8,0.0,-17.5
2022-12-12,28.6,31.8,0.0,-20.1
2022-12-13,28.6,31.8,0.0,-22.9
2022-12-14,28.6,31.8,0.0,-24.2
2022-12-15,28.6,31.8,0.0,-24.1
2022-12-16,28.6,31.8,0.0,-24.2
2022-12-17,28.6,31.8,0.0,-23.8
2022-12-18,28.6,31.8,0.0,-22.9
2022-12-19,28.6,31.8,0.0,-22.5
2022-12-20,28.6,31.8,0.0,-20.1
2022-12-21,28.6,31.8,0.0,-24.0
2022-12-22,28.6,31.8,0.0,-24.4
