time,precip_u,precip_u_cor,tp_u,t_u
2021-01-01,124.4,134.1,,-11.2
2021-01-02,124.4,134.1,0.0,-8.3
2021-01-03,124.4,134.1,0.0,-11.4
2021-01-04,124.4,134.1,0.0,-12.1
2021-01-05,124.4,134.1,0.0,-10.2
2021-01-06,124.4,134.1,0.0,-7.2
2021-01-07,124.4,134.1,0.0,-9.9
2021-01-08,124.4,134.1,0.0,-18.8
2021-01-09,124.4,134.1,0.0,-10.4
2021-01-10,124.4,134.1,0.0,-4.1
2021-01-11,124.4,134.1,0.0,-4.9
2021-01-12,124.4,134.1,0.0,-5.9
2021-01-13,124.4,134.1,0.0,-8.1
2021-01-14,124.4,134.1,0.0,-14.3
2021-01-15,124.4,134.1,0.0,-16.1
2021-01-16,124.4,134.1,0.0,-15.8
2021-01-17,124.4,134.1,0.0,-11.2
2021-01-18,124.4,134.1,0.0,-8.6
2021-01-19,124.4,134.1,0.0,-5.2
2021-01-20,124.4,134.1,0.0,-6.9
2021-01-21,124.4,134.1,0.0,-8.7
2021-01-22,124.4,134.1,0.0,-9.6
2021-01-23,124.4,134.1,0.0,-13.5
2021-01-24,124.4,134.1,0.0,-15.4
2021-01-25,124.4,134.1,0.0,-15.4
2021-01-26,124.4,134.1,0.0,-17.7
2021-01-27,124.4,134.1,0.0,-14.3
2021-01-28,124.4,134.1,0.0,-8.6
2021-01-29,124.4,134.1,0.0,-6.7
2021-01-30,124.4,134.1,0.0,-8.3
2021-01-31,124.4,134.1,0.0,-16.6
2021-02-01,124.4,134.1,0.0,-17.3
2021-02-02,124.4,134.1,0.0,-24.2
2021-02-03,124.4,134.1,0.0,-26.9
2021-02-04,124.4,134.1,0.0,-23.6
2021-02-05,124.4,134.1,0.0,-16.0
2021-02-06,125.0,134.7,0.6,-14.2
2021-02-07,128.1,137.9,3.2,-10.8
2021-02-08,128.8,138.6,0.7,-10.5
2021-02-09,128.8,138.6,0.0,-8.9
2021-02-10,128.8,138.6,0.0,-9.5
2021-02-11,128.8,138.6,0.0,-12.8
2021-02-12,128.8,138.6,0.0,-7.7
2021-02-13,128.8,138.6,0.0,-8.9
2021-02-14,128.8,138.6,0.0,-18.2
2021-02-15,128.8,138.6,0.0,-23.6
2021-02-16,128.8,138.6,0.0,-26.3
2021-02-17,128.8,138.6,0.0,-23.3
2021-02-18,128.8,138.6,0.0,-25.0
2021-02-19,128.8,138.6,0.0,-23.6
2021-02-20,128.8,138.6,0.0,-22.8
2021-02-21,128.8,138.6,0.0,-11.9
2021-02-22,128.8,138.6,0.0,-11.3
2021-02-23,128.8,138.6,0.0,-17.5
2021-02-24,128.8,138.6,0.0,-13.8
2021-02-25,128.8,138.6,0.0,-10.7
2021-02-26,128.8,138.6,0.0,-9.1
2021-02-27,128.8,138.6,0.0,-14.4
2021-02-28,128.8,138.6,0.0,-14.6
2021-03-01,128.8,138.6,0.0,-20.6
2021-03-02,128.8,138.6,0.0,-11.5
2021-03-03,129.4,139.3,0.6,-5.2
2021-03-04,129.8,139.6,0.4,-0.8
2021-03-05,129.8,139.6,0.0,-2.0
2021-03-06,129.8,139.6,0.0,-5.6
2021-03-07,129.8,139.6,0.0,-5.3
2021-03-08,129.8,139.6,0.0,-10.1
2021-03-09,129.8,139.6,0.0,-15.1
2021-03-10,129.8,139.6,0.0,-15.0
2021-03-11,129.8,139.6,0.0,-16.2
2021-03-12,129.8,139.6,0.0,-19.5
2021-03-13,129.8,139.6,0.0,-21.4
2021-03-14,129.8,139.6,0.0,-10.2
2021-03-15,130.4,140.2,0.6,-7.7
2021-03-16,130.8,140.7,0.5,-11.2
2021-03-17,130.8,140.7,0.0,-8.7
2021-03-18,130.8,140.7,0.0,-11.0
2021-03-19,130.8,140.7,0.0,-11.8
2021-03-20,130.8,140.7,0.0,-7.8
2021-03-21,130.8,140.7,0.0,-11.1
2021-03-22,130.8,140.7,0.0,-16.4
2021-03-23,130.8,140.7,0.0,-17.5
2021-03-24,130.8,140.7,0.0,-22.6
2021-03-25,130.8,140.7,0.0,-23.5
2021-03-26,130.8,140.7,0.0,-29.6
2021-03-27,130.8,140.7,0.0,-33.5
2021-03-28,130.8,140.7,0.0,-25.3
2021-03-29,130.8,140.7,0.0,-16.2
2021-03-30,130.8,140.7,0.0,-5.4
2021-03-31,130.8,140.7,0.0,-7.2
2021-04-01,130.8,140.7,0.0,-4.3
2021-04-02,130.8,140.7,0.0,-9.0
2021-04-03,130.8,140.7,0.0,-14.2
2021-04-04,130.8,140.7,0.0,-2.3
2021-04-05,130.8,140.7,0.0,-2.8
2021-04-06,130.8,140.7,0.0,-3.0
2021-04-07,130.8,140.7,0.0,-10.1
2021-04-08,130.8,140.7,0.0,-4.0
2021-04-09,130.8,140.7,0.0,-3.1
2021-04-10,130.8,140.7,0.0,-3.4
2021-04-11,130.8,140.7,0.0,-7.7
2021-04-12,130.8,140.7,0.0,-5.1
2021-04-13,130.8,140.7,0.0,-2.6
2021-04-14,130.8,140.7,0.0,-4.8
2021-04-15,130.8,140.7,0.0,-14.3
2021-04-16,130.8,140.7,0.0,-22.3
2021-04-17,130.8,140.7,0.0,-24.7
2021-04-18,130.8,140.7,0.0,-20.2
2021-04-19,130.8,140.7,0.0,-8.6
2021-04-20,130.8,140.7,0.0,-6.3
2021-04-21,130.8,140.7,0.0,-7.6
2021-04-22,130.8,140.7,0.0,-4.0
2021-04-23,130.8,140.7,0.0,-2.7
2021-04-24,130.8,140.7,0.0,0.1
2021-04-25,130.8,140.7,0.0,2.5
2021-04-26,130.8,140.7,0.0,1.8
2021-04-27,130.9,140.7,0.1,-2.7
2021-04-28,131.0,140.9,0.1,-1.5
2021-04-29,131.0,140.9,0.0,-1.3
2021-04-30,131.0,140.9,0.0,-1.3
2021-05-01,131.0,140.9,0.0,-2.0
2021-05-02,131.0,140.9,0.0,-3.4
2021-05-03,131.0,140.9,0.0,-2.8
2021-05-04,131.0,140.9,0.0,-1.5
2021-05-05,131.0,140.9,0.0,-2.0
2021-05-06,131.0,140.9,0.0,-3.8
2021-05-07,131.0,140.9,0.0,-6.3
2021-05-08,131.0,140.9,0.0,-5.7
2021-05-09,131.0,140.9,0.0,-5.5
2021-05-10,131.0,140.9,0.0,-4.7
2021-05-11,131.0,140.9,0.0,-4.8
2021-05-12,131.0,140.9,0.0,-7.0
2021-05-13,131.0,140.9,0.0,-5.9
2021-05-14,131.0,140.9,0.0,-4.5
2021-05-15,131.0,140.9,0.0,-5.3
2021-05-16,131.0,140.9,0.0,-5.6
2021-05-17,131.0,140.9,0.0,-6.2
2021-05-18,131.0,140.9,0.0,-5.6
2021-05-19,131.0,140.9,0.0,-4.8
2021-05-20,131.0,140.9,0.0,-5.0
2021-05-21,131.0,140.9,0.0,-4.0
2021-05-22,131.0,140.9,0.0,-7.4
2021-05-23,131.0,140.9,0.0,-7.4
2021-05-24,131.2,141.1,0.2,-4.9
2021-05-25,139.0,149.0,7.9,-3.5
2021-05-26,140.1,150.1,1.1,-1.3
2021-05-27,140.2,150.3,0.1,0.7
2021-05-28,140.2,150.3,0.0,1.5
2021-05-29,140.2,150.3,0.0,0.7
2021-05-30,140.2,150.3,0.0,-1.7
2021-05-31,140.2,150.3,0.0,-2.6
2021-06-01,141.0,151.1,0.9,-2.3
2021-06-02,143.6,154.0,2.9,-1.3
2021-06-03,143.6,154.0,0.0,-0.7
2021-06-04,143.6,154.0,0.0,-1.0
2021-06-05,145.1,155.7,1.7,2.1
2021-06-06,146.6,157.4,1.8,1.4
2021-06-07,146.8,157.6,0.2,2.5
2021-06-08,146.8,157.6,0.0,2.1
2021-06-09,146.8,157.6,0.0,0.8
2021-06-10,146.8,157.7,0.0,0.9
2021-06-11,147.2,158.1,0.4,0.7
2021-06-12,147.2,158.1,0.0,-0.1
2021-06-13,147.2,158.1,0.0,-0.1
2021-06-14,147.2,158.1,0.0,-0.7
2021-06-15,147.2,158.1,0.0,-0.9
2021-06-16,147.7,158.6,0.5,-0.6
2021-06-17,148.6,159.5,0.9,-1.1
2021-06-18,148.6,159.5,0.0,-0.7
2021-06-19,148.9,159.9,0.4,-0.1
2021-06-20,150.7,161.9,2.0,1.6
2021-06-21,151.0,162.3,0.4,0.5
2021-06-22,151.0,162.3,0.0,1.8
2021-06-23,155.9,167.8,5.5,3.5
2021-06-24,177.4,192.0,24.3,1.9
2021-06-25,192.0,207.6,15.6,1.1
2021-06-26,219.4,239.5,31.9,2.3
2021-06-27,236.6,259.2,19.7,3.6
2021-06-28,261.3,287.4,28.2,1.4
2021-06-29,264.4,290.9,3.5,-2.2
2021-06-30,266.5,293.3,2.3,0.2
2021-07-01,267.6,294.5,1.2,-0.1
2021-07-02,267.6,294.5,0.0,1.8
2021-07-03,267.6,294.5,0.0,3.4
2021-07-04,270.1,297.4,2.9,2.0
2021-07-05,286.0,315.8,18.4,0.9
2021-07-06,291.2,321.5,5.7,0.3
2021-07-07,295.2,325.9,4.4,-2.1
2021-07-08,297.8,328.6,2.7,-0.5
2021-07-09,297.8,328.6,0.0,0.0
2021-07-10,297.8,328.6,0.0,0.8
2021-07-11,297.8,328.6,0.0,2.7
2021-07-12,297.8,328.6,0.0,2.6
2021-07-13,297.9,328.7,0.1,2.3
2021-07-14,313.7,346.8,18.1,2.6
2021-07-15,331.0,366.6,19.8,2.2
2021-07-16,331.0,366.6,0.0,3.0
2021-07-17,331.3,367.0,0.4,4.1
2021-07-18,349.4,387.8,20.8,5.0
2021-07-19,360.1,400.2,12.4,3.3
2021-07-20,362.2,402.6,2.4,1.6
2021-07-21,362.2,402.6,0.0,1.9
2021-07-22,365.1,405.9,3.3,0.9
2021-07-23,372.1,414.1,8.1,-0.2
2021-07-24,375.9,418.3,4.2,-0.4
