time,precip_u,precip_u_cor,tp_u,t_u
2020-08-29,0.0,0.0,,3.3
2020-08-30,0.0,0.0,0.0,3.4
2020-08-31,0.0,0.0,0.0,1.7
2020-09-01,0.0,0.0,0.0,1.1
2020-09-02,0.0,0.0,0.0,0.9
2020-09-03,0.2,0.3,0.3,-0.2
2020-09-04,15.7,18.1,17.8,1.9
2020-09-05,41.7,47.8,29.7,2.0
2020-09-06,49.6,56.6,8.8,1.6
2020-09-07,56.0,63.7,7.1,1.8
2020-09-08,56.0,63.7,0.0,-1.9
2020-09-09,58.2,66.1,2.4,1.4
2020-09-10,59.1,67.2,1.0,-1.3
2020-09-11,59.2,67.3,0.1,-4.9
2020-09-12,59.2,67.3,0.0,-6.6
2020-09-13,59.2,67.3,0.0,-6.5
2020-09-14,59.2,67.3,0.0,-4.5
2020-09-15,59.4,67.5,0.2,-0.0
2020-09-16,60.6,68.7,1.2,0.2
2020-09-17,63.2,71.5,2.8,-2.4
2020-09-18,63.2,71.5,0.0,-1.9
2020-09-19,63.3,71.6,0.1,-6.5
2020-09-20,63.4,71.8,0.2,-9.2
2020-09-21,63.4,71.8,0.0,-6.0
2020-09-22,63.4,71.8,0.0,-8.8
2020-09-23,63.4,71.8,0.0,-8.2
2020-09-24,63.4,71.8,0.0,-1.5
2020-09-25,63.4,71.8,0.0,-1.6
2020-09-26,63.4,71.8,0.0,-3.7
2020-09-27,63.4,71.8,0.0,-6.5
2020-09-28,63.4,71.8,0.0,-9.1
2020-09-29,63.4,71.8,0.0,-10.6
2020-09-30,63.4,71.8,0.0,-9.8
2020-10-01,63.4,71.8,0.0,-4.4
2020-10-02,63.4,71.8,0.0,-2.2
2020-10-03,63.4,71.8,0.0,-5.7
2020-10-04,63.4,71.8,0.0,-8.8
2020-10-05,63.4,71.8,0.0,-8.2
2020-10-06,63.4,71.8,0.0,-15.5
2020-10-07,63.4,71.8,0.0,-12.0
2020-10-08,63.9,72.3,0.6,-0.9
2020-10-09,74.6,84.3,12.0,1.8
2020-10-10,77.8,87.8,3.4,0.6
2020-10-11,78.8,88.9,1.1,-1.8
2020-10-12,106.5,119.9,31.0,0.7
2020-10-13,123.8,139.3,19.4,-2.6
2020-10-14,124.0,139.5,0.2,-5.2
2020-10-15,124.0,139.5,0.0,-3.6
2020-10-16,125.5,141.1,1.7,2.1
2020-10-17,126.7,142.5,1.4,1.3
2020-10-18,126.8,142.6,0.1,1.4
2020-10-19,126.8,142.6,0.0,-2.1
2020-10-20,126.8,142.6,0.0,-2.3
2020-10-21,126.8,142.6,0.0,-6.5
2020-10-22,126.8,142.6,0.0,-11.6
2020-10-23,126.8,142.6,0.0,-5.7
2020-10-24,126.8,142.6,0.0,-7.7
2020-10-25,126.8,142.6,0.0,-6.2
2020-10-26,126.8,142.6,0.0,-3.8
2020-10-27,126.8,142.6,0.0,-7.7
2020-10-28,126.8,142.6,0.0,-7.1
2020-10-29,126.8,142.6,0.0,-7.8
2020-10-30,126.8,142.6,0.0,-15.8
2020-10-31,126.8,142.6,0.0,-12.6
2020-11-01,126.8,142.6,0.0,-11.6
2020-11-02,126.8,142.6,0.0,-13.2
2020-11-03,126.9,142.7,0.1,-2.3
2020-11-04,127.0,142.8,0.1,-6.6
2020-11-05,127.0,142.8,0.0,-11.9
2020-11-06,127.0,142.8,0.0,-13.3
2020-11-07,127.0,142.8,0.0,-7.8
2020-11-08,127.0,142.8,0.0,-6.1
2020-11-09,127.0,142.8,0.0,-7.0
2020-11-10,127.0,142.8,0.0,-9.8
2020-11-11,127.0,142.8,0.0,-11.9
2020-11-12,127.0,142.8,0.0,-13.7
2020-11-13,127.0,142.8,0.0,-13.2
2020-11-14,127.0,142.8,0.0,-18.3
