time,precip_u,precip_u_cor,tp_u,t_u
2021-01-01,85.6,0.0,,-14.2
2021-01-02,85.6,0.0,0.0,-15.7
2021-01-03,85.6,0.0,0.0,-14.4
2021-01-04,85.6,0.0,0.0,-17.9
2021-01-05,85.6,0.0,0.0,-18.7
2021-01-06,85.6,0.0,0.0,-14.6
2021-01-07,85.6,0.0,0.0,-14.2
2021-01-08,85.6,0.0,0.0,-26.6
2021-01-09,85.6,0.0,0.0,-22.2
2021-01-10,85.6,0.0,0.0,-14.3
2021-01-11,85.6,0.0,0.0,-7.8
2021-01-12,85.6,0.0,0.0,-10.9
2021-01-13,85.6,0.0,0.0,-6.3
2021-01-14,85.6,0.0,0.0,-12.3
2021-01-15,85.6,0.0,0.0,-17.9
2021-01-16,85.6,0.0,0.0,-22.1
2021-01-17,85.6,0.0,0.0,-19.4
2021-01-18,85.6,0.0,0.0,-18.7
2021-01-19,85.6,0.0,0.0,-14.8
2021-01-20,85.6,0.0,0.0,-12.7
2021-01-21,85.6,0.0,0.0,-14.0
2021-01-22,85.6,0.0,0.0,-16.4
2021-01-23,85.6,0.0,0.0,-17.7
2021-01-24,86.1,0.5,0.5,-19.2
2021-01-25,86.2,0.6,0.1,-22.8
2021-01-26,86.2,0.6,0.0,-22.3
2021-01-27,86.2,0.6,0.0,-24.2
2021-01-28,86.2,0.6,0.0,-23.8
2021-01-29,86.2,0.6,0.0,-24.5
2021-01-30,86.2,0.6,0.0,-24.1
2021-01-31,86.2,0.6,0.0,-26.4
2021-02-01,86.2,0.6,0.0,-21.7
2021-02-02,86.2,0.6,0.0,-28.5
2021-02-03,86.2,0.6,0.0,-34.7
2021-02-04,86.2,0.6,0.0,-33.0
2021-02-05,86.2,0.6,0.0,-26.9
2021-02-06,86.2,0.6,0.0,-20.1
2021-02-07,86.2,0.6,0.0,-15.7
2021-02-08,87.6,2.1,1.5,-17.7
2021-02-09,88.8,3.3,1.2,-17.4
2021-02-10,89.0,3.5,0.2,-21.7
2021-02-11,89.0,3.5,0.0,-20.1
2021-02-12,89.0,3.5,0.0,-16.1
2021-02-13,89.0,3.5,0.0,-7.2
2021-02-14,89.0,3.5,0.0,-18.2
2021-02-15,89.0,3.5,0.0,-24.2
2021-02-16,89.0,3.5,0.0,-28.5
2021-02-17,89.0,3.5,0.0,-26.6
2021-02-18,89.0,3.5,0.0,-24.2
2021-02-19,89.0,3.5,0.0,-27.3
2021-02-20,,,,
2021-02-21,,,,
2021-02-22,89.0,3.5,,-11.4
2021-02-23,89.0,3.5,0.0,-16.6
2021-02-24,89.0,3.5,0.0,-22.0
2021-02-25,89.0,3.5,0.0,-17.3
2021-02-26,89.0,3.5,0.0,-13.5
2021-02-27,89.0,3.5,0.0,-13.8
2021-02-28,89.0,3.5,0.0,-20.1
2021-03-01,89.0,3.5,0.0,-25.4
2021-03-02,89.0,3.5,0.0,-19.7
2021-03-03,89.0,3.5,0.0,-10.3
2021-03-04,89.0,3.5,0.0,-8.0
2021-03-05,89.0,3.5,0.0,-9.0
2021-03-06,89.0,3.5,0.0,-8.7
2021-03-07,89.0,3.5,0.0,-12.2
2021-03-08,89.0,3.5,0.0,-12.9
2021-03-09,89.0,3.5,0.0,-17.8
2021-03-10,89.0,3.5,0.0,-19.7
2021-03-11,89.0,3.5,0.0,-20.4
2021-03-12,89.0,3.5,0.0,-22.8
2021-03-13,89.0,3.5,0.0,-24.1
2021-03-14,89.0,3.5,0.0,-22.4
2021-03-15,89.0,3.5,0.0,-10.5
2021-03-16,89.0,3.5,0.0,-11.7
2021-03-17,89.0,3.5,0.0,-12.5
2021-03-18,89.0,3.5,0.0,-11.6
2021-03-19,89.0,3.5,0.0,-18.3
2021-03-20,89.2,3.6,0.2,-13.5
2021-03-21,89.2,3.7,0.0,-17.8
2021-03-22,89.2,3.7,0.0,-24.0
2021-03-23,89.2,3.7,0.0,-30.2
2021-03-24,89.2,3.7,0.0,-31.3
2021-03-25,89.2,3.7,0.0,-33.3
2021-03-26,89.2,3.7,0.0,-37.3
2021-03-27,89.2,3.7,0.0,-40.3
2021-03-28,89.2,3.7,0.0,-37.2
2021-03-29,89.2,3.7,0.0,-27.5
2021-03-30,89.2,3.7,0.0,-12.5
2021-03-31,92.4,6.9,3.3,-12.6
2021-04-01,92.4,6.9,0.0,-10.4
2021-04-02,92.4,6.9,0.0,-16.0
2021-04-03,92.4,6.9,0.0,-27.0
2021-04-04,111.5,26.4,19.5,-23.5
2021-04-05,154.8,70.6,44.2,-10.7
2021-04-06,154.8,70.6,0.0,-11.2
2021-04-07,154.8,70.6,0.0,-15.4
2021-04-08,154.8,70.6,0.0,-12.6
2021-04-09,154.8,70.6,0.0,-5.1
2021-04-10,154.8,70.6,0.0,-9.1
2021-04-11,154.8,70.6,0.0,-14.6
2021-04-12,154.8,70.6,0.0,-6.9
2021-04-13,154.8,70.6,0.0,-5.2
2021-04-14,154.8,70.6,0.0,-11.9
2021-04-15,154.8,70.6,0.0,-17.2
2021-04-16,154.8,70.6,0.0,-21.6
2021-04-17,154.8,70.6,0.0,-25.6
2021-04-18,154.8,70.6,0.0,-26.1
2021-04-19,154.8,70.6,0.0,-22.2
2021-04-20,154.8,70.6,0.0,-16.3
2021-04-21,154.8,70.6,0.0,-16.3
2021-04-22,154.8,70.6,0.0,-10.5
2021-04-23,154.8,70.6,0.0,-7.9
2021-04-24,154.8,70.6,0.0,-4.1
2021-04-25,154.8,70.6,0.0,-2.0
2021-04-26,154.8,70.6,0.0,1.1
2021-04-27,154.8,70.6,0.0,-2.2
2021-04-28,154.8,70.6,0.0,-3.9
2021-04-29,154.8,70.6,0.0,-5.3
2021-04-30,154.8,70.6,0.0,-5.1
2021-05-01,154.8,70.6,0.0,-6.0
2021-05-02,154.8,70.6,0.0,-5.1
2021-05-03,154.8,70.6,0.0,-4.7
2021-05-04,154.8,70.6,0.0,-5.8
2021-05-05,154.8,70.6,0.0,-6.3
2021-05-06,154.8,70.6,0.0,-8.7
2021-05-07,154.8,70.6,0.0,-10.5
2021-05-08,154.8,70.6,0.0,-11.7
2021-05-09,154.8,70.6,0.0,-10.1
2021-05-10,154.8,70.6,0.0,-6.7
2021-05-11,154.8,70.6,0.0,-7.4
2021-05-12,154.8,70.6,0.0,-7.2
